title,category,integration_status,soroban,github_url,total_awarded_usd
Allbridge Core,Financial Protocols,Mainnet,True,https://github.com/allbridge-public/allbridge-core-soroban-contracts,150000.0
StellarBroker,Financial Protocols,Mainnet,True,https://github.com/stellar-broker,150000.0
Autowhale,Financial Protocols,Mainnet,True,https://github.com/autowhale,150000.0
Rivool Finance: RWA in Emerging Markets,Financial Protocols,Mainnet,True,https://gitlab.com/rivool-finance/stellar-contracts,150000.0
ROZO - One Tap to Pay,Financial Protocols,Mainnet,True,https://github.com/rozoai/,150000.0
Splyce Finance,Financial Protocols,Mainnet,True,https://github.com/Splyce-Finance,150000.0
Estrela,Financial Protocols,Development,True,https://github.com/allbridge-io/dex-soroban-contracts,150000.0
Hermes,Financial Protocols,Development,True,https://github.com/zenith-protocols/hermes,150000.0
Rahat,Applications,Mainnet,True,https://github.com/rahataid,149962.0
Abroad,Financial Protocols,Mainnet,False,https://github.com/abroad-finance/abroad,149820.0
Inference,Developer Tooling,Development,True,https://github.com/Inferara/inference-language-spec,149730.0
LiquidsFi: Bridge and Cross-chain Oracle,Financial Protocols,Mainnet,True,https://github.com/orgs/LiquidsFi,149525.0
Bousol Wallet Enterprise,End-User Application,Mainnet,True,https://github.com/bousol/bousol-contracts,149215.0
Bebop,Applications,Mainnet,True,https://github.com/christopherkarani/escrowcotract,148970.0
Eascrow,Financial Protocols,Mainnet,True,https://github.com/Eascrow/Eascrow,147950.0
Tansu - Soroban Versioning,Developer Tooling,Mainnet,True,https://github.com/tupui/soroban-versioning,147360.0
Kura,Applications,Mainnet,False,https://github.com/KuraApp,147300.0
XCAPIT Smart Pay,Applications,Mainnet,True,https://github.com/xcapit/shelter,147000.0
Myaza | Transact Across Africa,Applications,Mainnet,False,https://github.com/myazahq/,146371.0
Tauvlo,Applications,Development,False,https://github.com/tauvlo,145000.0
Almanax,Developer Tooling,Mainnet,True,https://github.com/almanax-ai/w3sa,145000.0
Alula,Financial Protocols,Mainnet,True,https://github.com/mfactory-lab,145000.0
Vanna Protocol,Financial Protocols,Development,True,https://github.com/vannafinance/Protocol_V1_Soroban,145000.0
Token Tails,Applications,Mainnet,True,https://github.com/zbagdzevicius/tokentails,144000.0
Arka.fund,Financial Protocols,Development,True,https://github.com/dogstarapps/arka.fund,144000.0
LOAM,Developer Tooling,Mainnet,True,https://github.com/loambuild,143900.0
Dobprotocol,Infrastructure & Services,Development,True,https://github.com/Dobprotocol/stellar-distribution-contracts,143330.0
Lumen Loop,Applications,Development,True,https://github.com/lumenloop,142720.0
Trustful,Developer Tooling,Mainnet,True,https://github.com/blockful/trustful-stellar-v1/tree/main/contracts,142000.0
Every.finance,Financial Protocols,Development,True,https://github.com/Frihat-dev/every_finance,140000.0
Subs,Developer Tooling,Mainnet,True,https://github.com/Subs-Protocol,139480.0
Globachain,Applications,Mainnet,False,https://github.com/globachain,138500.0
Alterscope,Infrastructure & Services,Development,True,https://github.com/Solity-Network,137600.0
OtterSec,Developer Tooling,Mainnet,False,https://github.com/otter-sec/stellar-verify,137500.0
Liqvid.xyz,Financial Protocols,Mainnet,True,https://github.com/Asterizm-Protocol/asterizm-contracts-stellar,137500.0
IRL,Applications,Mainnet,True,https://github.com/hurley87/refraction,137000.0
Warmancer: Black Friday,Applications,Mainnet,True,https://github.com/towa-hi/solid-parakeet,136500.0
LumenShade: privacy pools,Applications,Development,True,https://github.com/amonprivacy,135000.0
